,commentnum,rate,movie,comment,nicknum,nick,date
0,13367932,7,부라더,웃기고 시간잘갓는데 내용은 도데체이게뭐지싶음ㅋㅋ ,13367932,salt****,17.11.06
1,13170454,10,살인자의 기억법,존잼인데 설현 안망치는데 ,13367932,salt****,17.09.16
2,13132777,7,킬러의 보디가드,박진감넘치고 재미있음. 내용은좀 뭐지싶지만 안지루하고 스펙타클함. 되게 옛날식 코메디장치들이 많아서 예측 가능할때도 있는데 그래사 7점줌 ,13367932,salt****,17.09.03
3,12029717,6,라라랜드,자다보다 자다보다. 지루햇음 그렇다고 욕하기엔 커플이이뿌고 노래도 나쁘지않고. 시간을되돌리면 VOD로 보겟더 ,13367932,salt****,16.12.10
4,11412062,9,조이,오 저는 재미잇엇어요 ㅋㅋㅋ킬링타임으로 굳혼자보는데 혼자 헙! 계속이럼ㅋㅋㅋㅋ잼썻어요 ,13367932,salt****,16.07.17
5,13363707,8,부라더,가볍게 가족들과 볼 수 있는 영화. 보는 동안 부모님 생각 많이 난거 같아요 ㅜㅜ ,13363707,5028****,17.11.05
6,13337293,10,토르: 라그나로크,여태 봤던 토르 중 제일 재밌었음 ,13363707,5028****,17.10.28
7,11899107,10,럭키,아무생각 없이 맘 편하게 웃으면서 잘 봤어요. ,13363707,5028****,16.10.23
8,11543303,10,덕혜옹주,의 삶이 불쌍하고. 일본놈들 보다 친일파새끼들이 더 치졸하고 나쁘다는걸 다시한번 느낌. ,13363707,5028****,16.08.03
9,11453223,6,부산행,잘 만들었지만. 마지막 부분 과 안소희 연기력이  지루했음 ,13363707,5028****,16.07.24
10,11102137,10,캡틴 아메리카: 시빌 워,어벤져스 보다 재미있었음.. ,13363707,5028****,16.05.05
11,10762527,10,엣지 오브 투모로우,재미있게 잘 봤습니다. ,13363707,5028****,16.01.21
12,10727455,10,세븐,손에 땀이... 진짜 재미있음.. 안 보신분들  꼭 보시길 ,13363707,5028****,16.01.14
13,10264953,10,타임 패러독스,와~~ 진짜 대박.. ,13363707,5028****,15.08.23
14,10047271,10,연평해전,가족들과 꼭 봐야 하는 영화!! ,13363707,5028****,15.06.28
15,13363706,10,부라더,가볍게 볼수 있고 살짝 뭉클함도 있었네요~ ,13363706,inin****,17.11.05
16,13363705,10,부라더,순간순간 웃김.. 마동석.이하늬ㅋㅋ 또 봐도 웃길것 같음. ,13363705,lete****,17.11.05
17,13363703,10,부라더,오랜만에 웃으면서 영화봤다ㅎㅎ ,13363703,jjs5****,17.11.05
18,13363701,10,부라더,웃느라 바빴습니다 ㅎㅎ ,13363701,lsy1****,17.11.05
19,13363700,10,부라더,가족~ 다시 생각하게 하는거 같다. 부모 자녀 같이보세요 ,13363700,love****,17.11.05
20,13363696,10,부라더,"빵빵터지는데 슬펐어요,,ㅠ ",13363696,lett****,17.11.05
21,13363693,10,부라더,단순하지만 한국적 정서가 물씬 캐릭터들이 귀엽다 ,13363693,jba1****,17.11.05
22,13363687,10,부라더,코믹 연기의 진수들을 보여줌. 아까운 시간이 없었음. ,13363687,jych****,17.11.05
23,13363686,10,부라더,웃겨서 배꼽 빠질뻔 넘 재밌어요 ,13363686,kyun****,17.11.05
24,13363681,8,부라더,걍~ 생각없이웃었네요~~ ㅋㅋ ,13363681,ksi1****,17.11.05
25,13363678,10,부라더,감동 영화 종반부에 눈물이 주르륵 ,13363678,korg****,17.11.05
26,13363675,10,부라더,재미있었어요.짱짱:D ,13363675,para****,17.11.05
27,13195700,9,아이 캔 스피크,감동감동! 다들 연기를 너뮤너무 잘하셔서 완전 이입했어요! 아직도 저런 일이 해결되지 않아서 마음이 너무 아팠다는... 재미있게 잘봤어요! ,13363675,para****,17.09.25
28,12446919,9,프리즌,배우들 연기는 진짜 진짜 진짜 좋았는데...후반에 끝맺음이 아쉬웠던 것 같다. ,13363675,para****,17.03.24
29,11963753,9,가려진 시간,정말 가을에 보기 좋은 영화가 아닌가...혼자남은 수린이와 그 많을  시간을 혼자 보냈을 성민이가 안타까웠다.  모든 배우들의 연기가  아쉽지않았던 영화.. ,13363675,para****,16.11.17
30,10602891,10,검은 사제들,시간이 정말 너무너무 빨리지나갔다..소재도 새롭고 배우들의 연기가 어느한명 빠지지않았던 듯....너무너무 재미있었어요! ,13363675,para****,15.12.15
31,8743629,9,역린,"배우들 하나하나가 정말  중요한 역을 맡았던거것 같음,.ㅋ 아역들도 연기가 괜찮고 ㅋㅋ ",13363675,para****,14.05.18
32,6623981,9,도둑들,스토리도 재미있었고 배우들의 액션연기가 돋보였던 작품... ,13363675,para****,12.08.19
33,5636027,10,퀵,ㅋㅋ완전 재미있던데요 ㅋㅋㅋ 영화보면서 다 빵터졌었는데ㅋㅋㅋ ,13363675,para****,11.08.11
34,5497988,10,수상한 고객들,완전 너무너무 재미있었어요ㅋㅋ 완전 감동! ,13363675,para****,11.06.25
35,13363674,10,부라더,가벼운듯 가볍지 않은 이야기 웃고싶어갔다 울고오네요. ,13363674,jc37****,17.11.05
36,13363669,10,부라더,재미도있고 감동도 있어요 ,13363669,shs5****,17.11.05
37,13363666,9,부라더,나름 감동있고 재밌게 봤어요 ,13363666,ohm5****,17.11.05
38,13363658,10,부라더,웃으며 보다가 부모님 생각에 눈물이 ~~ 가족사랑을 보여준 감동영화 ,13363658,whwo****,17.11.05
39,13363657,10,부라더,리얼 재미있고 슬프기도해요 꼭보는거 추천 ,13363657,ssoo****,17.11.05
40,13363651,10,부라더,생각지못한 웃음과 엉뚱한 매력 ! 그리고 마지막 가슴뭉클함까지 ,13363651,weed****,17.11.05
41,13363650,9,부라더,코믹 요소보다 애잔함과 슬픔이 더 묻어나는 영화 ,13363650,mswj****,17.11.05
42,12311719,10,조작된 도시,"봐도 봐도 새롭습니다. 다양한 시각으로 볼 수 있고, 새로운 장면, 배우들의 디테일한 감정까지 발견하게 됩니다. 영화 전문가가 아니라 어려운 표현은 모르겠고, 관객 입장에서 ""재미있다"" 생각 들면, 성공한거 아닐까요? ",13363650,mswj****,17.02.15
43,13363646,10,부라더,웃다가 울다가~생각보다는 괜찮았어요^^ ,13363646,sdsf****,17.11.05
44,13363641,10,부라더,소소한재미…?재밋어요가족이랑 같이보면 넘좋을듯 ,13363641,golt****,17.11.05
45,13363640,10,부라더,오랜만에 영화보면서 웃어보내요..마블리와동휘의 케미도 괜찮내요..마지막은 짠해서 살짝 눈물흘렸다능.. ,13363640,roob****,17.11.05
46,13363636,10,부라더,웃으면서 봤어요~~은근 감동도 있고요 ,13363636,tlsd****,17.11.05
47,13363633,8,부라더,그냥 아무 생각 없이 가서 보기 딱 좋은 영화 ㅋㅋ ,13363633,shle****,17.11.05
48,13363605,10,부라더,코믹 스릴러 감동 다 있는 영화 ,13363605,anso****,17.11.05
49,13363601,10,부라더,ㅋㅋㅋ 한국코미디 재밌네요 실컷웃으면서 봤어용 마지막엔 감동이에요ㅠㅠ ,13363601,96_h****,17.11.05
50,13363598,10,부라더,정신없이 보다 보니 어느덧 감동이..ㅠㅠ ,13363598,13wh****,17.11.05
51,13363595,10,부라더,영화관에서 눈물 나보기는 처음이였습니다. 웃다가 울다가 정말 좋은 힐링 영화네요. ,13363595,8tax****,17.11.05
52,13363592,10,부라더,"재밌어요~ 웃음, 감동, 공포까지 모든 장르가있는 영화에요! ",13363592,ahny****,17.11.05
53,13363589,10,부라더,재미 감동 교훈 세마리 토끼를 다잡았네요 ,13363589,anms****,17.11.05
54,13363585,10,부라더,코믹과 가족애을 한번 더 느끼게 해 주는듯한 영화 인듯합니다. 그리고 마동석의 연기는 역시 짱짱짱~대박나세요~ ,13363585,ghkt****,17.11.05
55,13363584,10,부라더,재미와 감동 두 가지 다 얻었어요 ^^ ,13363584,audi****,17.11.05
56,13363581,9,부라더,재밌다가 갑자기 소름끼침 그리고 좀슬퍼요ㅠ 영화는 재밌어요~ 꼭 보세요^^ 이하늬 저런연기 너무잘어울려요ㅋㅋ ,13363581,bawo****,17.11.05
57,13363577,10,부라더,"병맛코미디로 시작했지만, 엄마의 집밥으로 훈훈하게 마무리!! 마블리는 어디든 통한다. ",13363577,afg0****,17.11.05
58,13363564,10,부라더,단지 재미를 위한 요소라 생각했던 것들이 의미가 부여되는 순간 감동이 되네요. ,13363564,bsek****,17.11.05
59,13363562,10,부라더,재밌는데 이하늬씨 비중이 예상보다 적어서 아쉬웠지만 좋았어요! ,13363562,aygh****,17.11.05
60,13363560,10,부라더,생각보다 부담없이 편하게 보기 좋아요 킬링타임용으로 추천해요 ! ,13363560,soon****,17.11.05
61,8217271,10,집으로 가는 길,너무너무 잘 봤어요 미국에 핵폭탄이 있다면 대한민국엔 네티즌 이 있다! ,13363560,soon****,13.12.15
62,13363556,10,부라더,전형적인 한국 상업영화의 공식을 그대로 따라가지만 그래도 올해 코미디 중엔 제일 낫다. ,13363556,ban3****,17.11.05
63,10624386,8,히말라야,울지는않앗는데슬프고산악인이힘들다란거느낌 ,13363556,ban3****,15.12.20
64,13363361,10,부라더,멋진 형제들멋진 부모들사랑이 가득한 오로라씨 ,13363361,jnug****,17.11.05
65,13341265,9,유리정원,여윤이 남기 하지만....해피엔딩이 아니어서 아쉽네요...그래도 좋은 영화였습니다....(문근영:순수한건 오염되기 쉽죠)<<명대사였습니다... ,13363361,jnug****,17.10.29
66,12697161,10,원더 우먼,어제 친구들과 같이 보려 갔는데 진심 꿀잼강력추천!!! ,13363361,jnug****,17.06.07
67,13363313,9,부라더,마동석이랑 이동휘 케미가 잘맞는거같아요 재밌게보고 감동도받고 좋은영화입니다~ ,13363313,naru****,17.11.05
68,13363298,8,부라더,재밌네요 웃음코드도 있고 눈물 나는 부분도 있고 ,13363298,rfvp****,17.11.05
69,13394267,6,7호실,애매한영화같네요 코미디는 아닌것같아여 ,13362939,ruda****,17.11.16
70,13383072,1,미옥,시간가는줄알고봤습니다 ,13362939,ruda****,17.11.12
71,13366110,10,침묵,집중100%일수밖에없는영화 ,13362939,ruda****,17.11.06
72,13362939,6,부라더,저는좀지루해서졸렷어요 ,13362939,ruda****,17.11.05
73,13288796,5,희생부활자,"연기실력은 박수를 ,그러나알수없는장르 ",13362939,ruda****,17.10.15
74,13235431,10,남한산성,무조건봐야하는영화입니다 ,13362939,ruda****,17.10.04
75,13228122,10,범죄도시,무조건봐야하는영화에요 ,13362939,ruda****,17.10.03
76,13190424,10,아이 캔 스피크,시간가는줄도모르고봤습니다무조건보라고추천해주고싶어여 ,13362939,ruda****,17.09.24
77,13131068,5,로마의 휴일,유치한데 볼만해요 ~^^ ,13362939,ruda****,17.09.03
78,13105638,5,브이아이피,굳이 돈주고보지는않을것같은영화.. ,13362939,ruda****,17.08.27
79,13076681,4,장산범,별로 무섭지는 않아요 지루한게좀있었어요 ,13362939,ruda****,17.08.21
80,12993125,10,택시운전사,두번 세번 더보세요!!! ,13362939,ruda****,17.08.07
81,12926087,10,군함도,전 재밌게봤어요.. 보는거 추천해요..! ,13362939,ruda****,17.07.29
82,12821158,10,옥자,재밌어요 지루함전혀없고 안보셨다면 보세요 추천합니다!! ,13362939,ruda****,17.07.09
83,12787487,10,박열,정말 너무나 잘봤고 보는내내 재밌고 의미있는영화라 무조건 추천하고요시간내서꼭보세요~ ,13362939,ruda****,17.07.01
84,12732476,7,하루,나름 스토리가있어서 좋앗네여 ,13362939,ruda****,17.06.18
85,12713027,6,악녀,그냥 쏘쏘 스릴은 인정합니다 ,13362939,ruda****,17.06.11
86,12680898,10,대립군,이정재배우님 역시 연기는 끈내줍니다 집중하면서 너무 잘봤구요 김무열씨도 연기력 좋아요! 돈주고도 봐도 아깝지않네요~^^ ,13362939,ruda****,17.06.04
87,12623098,10,불한당: 나쁜 놈들의 세상,저는 개인적으로 지루하지않고 영화는 재밌게봤어요 임시완님도 연기 좋았구 설경구님 연기 좋앗구요 배우들은 잘한것같아요 ! ,13362939,ruda****,17.05.19
88,12591335,6,석조저택 살인사건,지루하긴한데 나름 스토리가있는영화였습니다 ,13362939,ruda****,17.05.09
89,12563367,7,보안관,그냥 무난한 영화였습니다 ,13362939,ruda****,17.05.03
90,12515419,10,아빠는 딸,완벽한영화였던것같아요 박명수 최고 ,13362939,ruda****,17.04.17
91,12450228,10,프리즌,집중하면서 봤어요 기대안하고보면 꿀잼입니다 ,13362939,ruda****,17.03.25
92,12378044,4,해빙,돈보고 볼정도는 아까운영화입니다 이상입니다 ,13362939,ruda****,17.03.01
93,13361312,3,부라더,너무 기대했는지 실망이 크네요중간중간 말장난으로 인한 소소한 웃음 외에는 재미있지는 않았습니다 ,13361312,mimi****,17.11.04
94,13264006,7,남한산성,한편의 역사 다큐를 본 듯한 느낌입니다. ,13361312,mimi****,17.10.08
95,13234886,10,범죄도시,정말 재밌었어요마블리가 다한 영화!! ,13361312,mimi****,17.10.04
96,12355244,7,루시드 드림,내용도 신선하구 재밌었어요근데 약간 긴박감은 떨어져요... ,13361312,mimi****,17.02.25
97,12235644,10,더 킹,현 시국에 많은걸 생각하게 만드는 영화 ,13361312,mimi****,17.01.28
98,11053070,10,시간이탈자,시사회 평 보고 기대 안하고 보러 갔는데 진짜 재밌었어요 ! ,13361312,mimi****,16.04.20
